// input: .\VOICE_TEST\VO_02_001000_0150_jp.wav,,,,,,,,,,
// framerate: 60 [fps],,,,,,,,,,
// frame count, msec, width(0-1 def=0.583), height(0-1 def=0.000), tongue(0-1 def=0.000), A(0-1), I(0-1), U(0-1), E(0-1), O(0-1), Vol(dB)
0,0,0.583,0,0,0,0,0,0,0,-96
1,16,0.583,0,0,0,0,0,0,0,-96
2,33,0.583,0,0,0,0,0,0,0,-79.841118
3,50,0.583,0,0,0,0,0,0,0,-77.004684
4,66,0.583,0,0,0,0,0,0,0,-71.27269
5,83,0.583,0,0.35,0.02,0.02,0,0,0,-31.182228
6,100,0.583,0.02,0.5775,0.04,0.04,0,0,0,-26.953205
7,116,0.583,0.0542,0.821494,0.08,0.08,0,0,0,-15.349457
8,133,0.583,0.081902,0.924581,0.050001,0.12366,0,0,0,-11.687675
9,150,0.583,0.093712,0.950978,0.050001,0.206781,0,0,0,-11.621613
10,166,0.63151,0.132186,0.950978,0.050002,0.380183,0,0,0,-12.828116
11,183,0.672165,0.18941,0.950978,0,0.42905,0.041913,0,0,-14.179543
12,200,0.68705,0.218341,0.950978,0,0.409139,0.079123,0,0,-14.266605
13,216,0.702031,0.279472,0.950978,0,0.36915,0.119009,0,0,-12.504236
14,233,0.697591,0.342964,0.950978,0,0.32549,0.127473,0,0,-11.208323
15,250,0.689448,0.370164,0.950978,0,0.121185,0.255059,0,0,-11.516837
16,266,0.678528,0.438237,0.422657,0.049798,0,0.255094,0,0,-12.341112
17,283,0.6783,0.509785,0.187847,0.299172,0,0.085634,0,0,-13.447651
18,300,0.678201,0.540347,0.125232,0.399126,0,0.048425,0,0,-14.051747
19,316,0.676181,0.588851,0.055659,0.599112,0,0.008539,0,0,-16.949249
20,333,0.672298,0.604104,0.024737,0.799106,0,0.000075,0,0,-23.34692
21,350,0.671004,0.618326,0.016491,0.899097,0,0.000018,0,0,-30.167004
22,366,0.661535,0.635598,0.00733,0.899463,0,0,0,0.000036,-43.422642
23,383,0.661535,0.635598,0.003258,0.699888,0,0,0,0.000036,-57.213192
24,400,0.661535,0.635598,0.002172,0.599934,0,0,0,0.000036,-56.339348
25,416,0.661535,0.635598,0.000965,0.399948,0,0,0,0.000036,-53.240685
26,433,0.661535,0.635598,0.000429,0.199953,0,0,0,0.000036,-55.053925
27,450,0.661535,0.635598,0.000286,0.099963,0,0,0,0.000036,-59.274067
28,466,0.661535,0.635598,0.000127,0,0,0,0,0,-73.513824
29,483,0.646614,0.514834,0.000056,0,0,0,0,0,-87.452484
30,500,0.640252,0.463351,0.000038,0,0,0,0,0,-96
31,516,0.629374,0.375314,0.000017,0,0,0,0,0,-96
32,533,0.620563,0.304004,0.000007,0,0,0,0,0,-96
33,550,0.616807,0.273604,0.000005,0,0,0,0,0,-96
34,566,0.610384,0.221619,0.000002,0,0,0,0,0,-82.908981
35,583,0.605181,0.179512,0.000001,0,0,0,0,0,-66.889465
36,600,0.602963,0.16156,0.000001,0,0,0,0,0,-52.84227
37,616,0.59917,0.150864,0.35,0.02,0.02,0,0,0,-39.68428
38,633,0.596097,0.1602,0.725375,0.06,0.06,0,0,0,-32.799107
39,650,0.594788,0.16418,0.821494,0.08,0.08,0,0,0,-30.205914
40,666,0.592548,0.170986,0.924581,0.12,0.12,0,0,0,-26.731812
41,683,0.590734,0.176498,0.968136,0.16,0.16,0,0,0,-22.649181
42,700,0.589961,0.178849,0.979288,0.18,0.18,0,0,0,-19.036518
43,716,0.588638,0.182867,0.991249,0.236034,0.082843,0,0,0,-15.957498
44,733,0.60705,0.290193,0.991249,0.344126,0.062849,0,0,0,-18.233469
45,750,0.610931,0.323129,0.991249,0.404083,0.05285,0,0,0,-19.963589
46,766,0.611472,0.3,0.994312,0.454662,0.0857,0,0,0,-22.343338
47,783,0.610469,0.15,0.996303,0.510201,0.045718,0,0,0,-25.733263
48,800,0.617097,0.075,0.996303,0.490201,0.025718,0,0,0,-25.094807
49,816,0.631799,0.01875,0.996303,0.414167,0.020032,0,0,0,-23.274731
50,833,0.640079,0.004688,0.996303,0.286075,0.04002,0,0,0,-22.655313
51,850,0.639552,0.002344,0.996303,0.226117,0.060018,0,0,0,-21.7584
52,866,0.639552,0.002344,0.998438,0.175539,0.080018,0,0,0,-16.64122
53,883,0.639552,0.002344,0.99934,0.04016,0,0.198763,0,0,-16.365665
54,900,0.634064,0.049454,0.99934,0.040243,0,0.297554,0,0,-18.794434
55,916,0.614969,0.125256,0.99934,0.040268,0,0.495727,0,0,-32.856033
56,933,0.600053,0.15968,0.99934,0.060536,0,0.495727,0,0,-48.857212
57,950,0.600053,0.15968,0.99934,0.040536,0,0.495727,0,0,-55.002308
58,966,0.600053,0.15968,0.999721,0.040536,0,0.495727,0,0,-29.681845
59,983,0.600053,0.15968,0.999819,0.080217,0,0.296964,0,0,-17.636635
60,1000,0.600053,0.15968,0.999819,0.040228,0,0.297477,0,0,-16.159933
61,1016,0.624804,0.219188,0.999819,0.04022,0,0.298873,0,0,-19.779655
62,1033,0.632907,0.274669,0.999819,0.042493,0,0.479947,0,0,-34.884804
63,1050,0.635805,0.300848,0.999819,0.084986,0,0.479947,0,0,-42.770454
64,1066,0.643192,0.075212,0.999819,0.044986,0,0.479947,0,0,-27.407692
65,1083,0.650814,0.018803,0.666546,0.044986,0,0.479947,0,0,-25.040859
66,1100,0.649962,0.009402,0.444364,0.044581,0,0.380642,0,0,-26.907719
67,1116,0.647403,0.00235,0.197495,0.064547,0,0.181074,0,0,-50.028248
68,1133,0.647403,0.00235,0.478372,0.08,0.02,0,0,0,-28.660639
69,1150,0.647403,0.00235,0.478372,0.1,0.04,0,0,0,-22.702806
